Calc. No.;Mgmt. dept. CD;Mgmt. dept. name;YM;LVL;Target item CD;Item CD;Item name;Item type name;Unit;Qty.;[STD]Qty.;Total;[STD]Total;Variable Cost;[STD]Variable Cost;Labour Cost;[STD]Labour Cost;Depreciation;[STD]Depreciation;Repair Maintenance;[STD]Repair Maintenance;Overhead Cost;[STD]Overhead Cost;Retur Cost;[STD]Retur Cost
BL588;2201;;2023/03/01 00:00;0;122000215;122000215;;;PC;0;0;0;1073,323062;0;0;0;1073,323062;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000219;122000219;;;PC;8025;8025;2272,2;0;2272,2;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000219;122000219;;;PC;0;0;0;2096,466729;0;0;0;2096,466729;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000230;122000230;;;PC;5000;5000;81,65;0;81,65;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000230;122000230;;;PC;0;0;0;31,32435;0;0;0;31,32435;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000313;122000313;;;PC;300;300;1793,02;0;1793,02;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000313;122000313;;;PC;0;0;0;2225,612769;0;0;0;2225,612769;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000351;122000351;;;PC;4000;4000;1440;0;1440;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000351;122000351;;;PC;0;0;0;1262,07276;0;0;0;1262,07276;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000374;122000374;;;PC;19878;19878;2730,4;0;2730,4;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000374;122000374;;;PC;0;0;0;2972,491517;0;0;0;2972,491517;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000449;122000449;;;KG;100;100;697,41;0;697,41;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000449;122000449;;;KG;0;0;0;666,389547;0;0;0;666,389547;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000452;122000452;;;KG;200;200;565,81;0;565,81;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000452;122000452;;;KG;0;0;0;493,355418;0;0;0;493,355418;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000457;122000457;;;KG;268;268;743,48;0;743,48;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000457;122000457;;;KG;0;0;0;670,3794451;0;0;0;670,3794451;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000462;122000462;;;ROL;288;288;204,39;0;204,39;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000462;122000462;;;ROL;0;0;0;172,1599776;0;0;0;172,1599776;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000476;122000476;;;PC;10000;10000;5936,91;0;5936,91;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000476;122000476;;;PC;0;0;0;4151,1427;0;0;0;4151,1427;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000507;122000507;;;PC;2500;2500;90,46;0;90,46;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000507;122000507;;;PC;0;0;0;73,00685;0;0;0;73,00685;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000546;122000546;;;KG;80;80;129,03;0;129,03;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000546;122000546;;;KG;0;0;0;120,7578208;0;0;0;120,7578208;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000549;122000549;;;PC;2000;2000;16093,63;0;16093,63;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000549;122000549;;;PC;0;0;0;16155,7673;0;0;0;16155,7673;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000635;122000635;;;PC;3000;3000;1569,68;0;1569,68;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000635;122000635;;;PC;0;0;0;1311,88578;0;0;0;1311,88578;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000641;122000641;;;PC;10000;10000;195,84;0;195,84;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000641;122000641;;;PC;0;0;0;169,3145;0;0;0;169,3145;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000689;122000689;;;PC;70000;70000;1944,14;0;1944,14;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000689;122000689;;;PC;0;0;0;2016,7154;0;0;0;2016,7154;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000690;122000690;;;PC;76000;76000;1212,01;0;1212,01;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000690;122000690;;;PC;0;0;0;1293,7822;0;0;0;1293,7822;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000714;122000714;;;L;5;5;217,32;0;217,32;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000714;122000714;;;L;0;0;0;201,2532354;0;0;0;201,2532354;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000719;122000719;;;PC;5000;5000;20,42;0;20,42;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000719;122000719;;;PC;0;0;0;14,88815;0;0;0;14,88815;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000725;122000725;;;PC;126000;126000;1793,58;0;1793,58;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122000725;122000725;;;PC;0;0;0;1995,90678;0;0;0;1995,90678;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122001311;122001311;;;PC;2040;2040;2008,8;0;2008,8;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122001439;122001439;;;PC;10000;10000;1057,32;0;1057,32;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122001671;122001671;;;PC;10000;10000;3832,85;0;3832,85;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122001672;122001672;;;PC;15000;15000;5749,28;0;5749,28;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002170;122002170;;;PC;4940;4940;3163,63;0;3163,63;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002171;122002171;;;PC;6990;6990;4404,95;0;4404,95;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002172;122002172;;;PC;4800;4800;3065,81;0;3065,81;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002173;122002173;;;PC;5000;5000;3010,47;0;3010,47;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002313;122002313;;;PC;40000;40000;137,09;0;137,09;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002386;122002386;;;PC;10;10;283,11;0;283,11;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002683;122002683;;;PC;7810;7810;10972,04;0;10972,04;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002784;122002784;;;PC;500;500;2262,52;0;2262,52;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002808;122002808;;;PC;9750;9750;5216,97;0;5216,97;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002936;122002936;;;PC;770000;770000;11387,82;0;11387,82;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;122002937;122002937;;;PC;52260;52260;16659,93;0;16659,93;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;124000012;124000012;;;KG;68800;68800;3967,516432;0;0;0;1034,454096;0;759,931776;0;41,140336;0;2131,990224;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000218;;;PC;86;0;179,569333;0;179,569333;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000219;;;PC;126,49;0;37,00280654;0;37,00280654;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000223;;;PC;2,75;0;1,59727799;0;1,59727799;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000231;;;PC;16,92;0;4,47066551;0;4,47066551;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000351;;;PC;62,13;0;23,70451482;0;23,70451482;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000449;;;KG;8;0;56,94103216;0;56,94103216;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000452;;;KG;4;0;11,44889792;0;11,44889792;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;1;124000012;122000454;;;ROL;0,98;0;82,05665528;0;82,05665528;0;0;0;0;0;0;0;0;0;0;0
