Posting_Date;Document_Date;Document_Header_Text;Material;Material_Description;Plant;Storage_Location;Movement_Type;Material_Document;Batch;Qty_in_Un_of_Entry;Kilos_Convertion;Unit_of_Entry;Entry_Date;Time_of_Entry;User_name;Base_Unit_of_Measure;Quantity;Amount_in_LC;Goods_recipient;
2024/04/24 00:00:00;2024/04/24 00:00:00;RS Dill 24.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054586667;103625/094;-24.140;-24,140.0000;MT;2024/04/25 00:00:00;15:57:51;ID0857;MT;-24.140;0.00;211000076;
2024/04/24 00:00:00;2024/04/24 00:00:00;RS Dill 24.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054586667;103625/094;-23.860;-23,860.0000;MT;2024/04/25 00:00:00;15:57:51;ID0857;MT;-23.860;0.00;211000076;
2024/04/23 00:00:00;2024/04/23 00:00:00;RS Dill 23.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054586635;103625/094;-24.360;-24,360.0000;MT;2024/04/25 00:00:00;15:55:26;ID0857;MT;-24.360;0.00;211000076;
2024/04/23 00:00:00;2024/04/23 00:00:00;RS Dill 23.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054586635;103625/094;-24.420;-24,420.0000;MT;2024/04/25 00:00:00;15:55:26;ID0857;MT;-24.420;0.00;211000076;
2024/04/23 00:00:00;2024/04/23 00:00:00;RS Dill 23.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054586635;103625/094;-24.060;-24,060.0000;MT;2024/04/25 00:00:00;15:55:26;ID0857;MT;-24.060;0.00;211000076;
2024/04/23 00:00:00;2024/04/23 00:00:00;RS Dill 23.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054586635;103625/094;-24.200;-24,200.0000;MT;2024/04/25 00:00:00;15:55:26;ID0857;MT;-24.200;0.00;211000076;
2024/04/23 00:00:00;2024/04/23 00:00:00;RS Dill 23.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054586635;103625/094;-24.360;-24,360.0000;MT;2024/04/25 00:00:00;15:55:26;ID0857;MT;-24.360;0.00;211000076;
2024/04/22 00:00:00;2024/04/22 00:00:00;RS Dill 22.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054541706;103625/094;-24.060;-24,060.0000;MT;2024/04/23 00:00:00;13:56:03;ID0857;MT;-24.060;0.00;211000076;
2024/04/22 00:00:00;2024/04/22 00:00:00;RS Dill 22.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054541706;103625/094;-24.080;-24,080.0000;MT;2024/04/23 00:00:00;13:56:03;ID0857;MT;-24.080;0.00;211000076;
2024/04/22 00:00:00;2024/04/22 00:00:00;RS Dill 22.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054541706;103625/094;-24.260;-24,260.0000;MT;2024/04/23 00:00:00;13:56:03;ID0857;MT;-24.260;0.00;211000076;
2024/04/22 00:00:00;2024/04/22 00:00:00;RS Dill 22.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054541706;103625/094;-23.940;-23,940.0000;MT;2024/04/23 00:00:00;13:56:03;ID0857;MT;-23.940;0.00;211000076;
2024/04/22 00:00:00;2024/04/22 00:00:00;RS Dill 22.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054541706;103625/094;-24.400;-24,400.0000;MT;2024/04/23 00:00:00;13:56:03;ID0857;MT;-24.400;0.00;211000076;
2024/04/20 00:00:00;2024/04/20 00:00:00;RS Dill 20.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054520034;103625/094;-24.140;-24,140.0000;MT;2024/04/22 00:00:00;15:04:48;ID0857;MT;-24.140;0.00;211000076;
2024/04/20 00:00:00;2024/04/20 00:00:00;RS Dill 20.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054520034;103625/094;-23.980;-23,980.0000;MT;2024/04/22 00:00:00;15:04:48;ID0857;MT;-23.980;0.00;211000076;
2024/04/20 00:00:00;2024/04/20 00:00:00;RS Dill 20.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054520034;103625/094;-24.400;-24,400.0000;MT;2024/04/22 00:00:00;15:04:48;ID0857;MT;-24.400;0.00;211000076;
2024/04/20 00:00:00;2024/04/20 00:00:00;RS Dill 20.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054520034;103625/094;-23.860;-23,860.0000;MT;2024/04/22 00:00:00;15:04:48;ID0857;MT;-23.860;0.00;211000076;
2024/04/19 00:00:00;2024/04/19 00:00:00;RS Dill 19.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519929;103625/094;-24.360;-24,360.0000;MT;2024/04/22 00:00:00;14:47:38;ID0857;MT;-24.360;0.00;211000076;
2024/04/19 00:00:00;2024/04/19 00:00:00;RS Dill 19.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519929;103625/094;-24.200;-24,200.0000;MT;2024/04/22 00:00:00;14:47:38;ID0857;MT;-24.200;0.00;211000076;
2024/04/19 00:00:00;2024/04/19 00:00:00;RS Dill 19.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519929;103625/094;-24.380;-24,380.0000;MT;2024/04/22 00:00:00;14:47:38;ID0857;MT;-24.380;0.00;211000076;
2024/04/19 00:00:00;2024/04/19 00:00:00;RS Dill 19.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519929;103625/094;-24.220;-24,220.0000;MT;2024/04/22 00:00:00;14:47:38;ID0857;MT;-24.220;0.00;211000076;
2024/04/18 00:00:00;2024/04/18 00:00:00;RS Dill 18.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519923;103625/094;-24.320;-24,320.0000;MT;2024/04/22 00:00:00;14:46:16;ID0857;MT;-24.320;0.00;211000076;
2024/04/18 00:00:00;2024/04/18 00:00:00;RS Dill 18.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519923;103625/094;-24.500;-24,500.0000;MT;2024/04/22 00:00:00;14:46:16;ID0857;MT;-24.500;0.00;211000076;
2024/04/18 00:00:00;2024/04/18 00:00:00;RS Dill 18.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519923;103625/094;-24.380;-24,380.0000;MT;2024/04/22 00:00:00;14:46:16;ID0857;MT;-24.380;0.00;211000076;
2024/04/16 00:00:00;2024/04/16 00:00:00;RS Dill 16.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519910;103625/094;-24.100;-24,100.0000;MT;2024/04/22 00:00:00;14:43:57;ID0857;MT;-24.100;0.00;211000076;
2024/04/16 00:00:00;2024/04/16 00:00:00;RS Dill 16.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519910;103625/094;-24.440;-24,440.0000;MT;2024/04/22 00:00:00;14:43:57;ID0857;MT;-24.440;0.00;211000076;
2024/04/16 00:00:00;2024/04/16 00:00:00;RS Dill 16.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519910;103625/094;-24.400;-24,400.0000;MT;2024/04/22 00:00:00;14:43:57;ID0857;MT;-24.400;0.00;211000076;
2024/04/16 00:00:00;2024/04/16 00:00:00;RS Dill 16.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519910;103625/094;-24.080;-24,080.0000;MT;2024/04/22 00:00:00;14:43:57;ID0857;MT;-24.080;0.00;211000076;
2024/04/15 00:00:00;2024/04/15 00:00:00;RS Dill 15.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519894;103625/094;-24.440;-24,440.0000;MT;2024/04/22 00:00:00;14:41:09;ID0857;MT;-24.440;0.00;211000076;
2024/04/15 00:00:00;2024/04/15 00:00:00;RS Dill 15.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519894;103625/094;-24.500;-24,500.0000;MT;2024/04/22 00:00:00;14:41:09;ID0857;MT;-24.500;0.00;211000076;
2024/04/15 00:00:00;2024/04/15 00:00:00;RS Dill 15.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519894;103625/094;-23.760;-23,760.0000;MT;2024/04/22 00:00:00;14:41:09;ID0857;MT;-23.760;0.00;211000076;
2024/04/15 00:00:00;2024/04/15 00:00:00;RS Dill 15.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519894;103625/094;-24;-24,000.0000;MT;2024/04/22 00:00:00;14:41:09;ID0857;MT;-24;0.00;211000076;
2024/04/13 00:00:00;2024/04/13 00:00:00;RS Dill 13.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519876;103625/094;-24.340;-24,340.0000;MT;2024/04/22 00:00:00;14:39:28;ID0857;MT;-24.340;0.00;211000076;
2024/04/13 00:00:00;2024/04/13 00:00:00;RS Dill 13.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519876;103625/094;-24.020;-24,020.0000;MT;2024/04/22 00:00:00;14:39:28;ID0857;MT;-24.020;0.00;211000076;
2024/04/13 00:00:00;2024/04/13 00:00:00;RS Dill 13.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519876;103625/094;-24.500;-24,500.0000;MT;2024/04/22 00:00:00;14:39:28;ID0857;MT;-24.500;0.00;211000076;
2024/04/13 00:00:00;2024/04/13 00:00:00;RS Dill 13.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519876;103625/094;-24.200;-24,200.0000;MT;2024/04/22 00:00:00;14:39:28;ID0857;MT;-24.200;0.00;211000076;
2024/04/13 00:00:00;2024/04/13 00:00:00;RS Dill 13.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519876;103625/094;-23.780;-23,780.0000;MT;2024/04/22 00:00:00;14:39:28;ID0857;MT;-23.780;0.00;211000076;
2024/04/12 00:00:00;2024/04/12 00:00:00;RS Dill 12.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519848;103625/094;-24.340;-24,340.0000;MT;2024/04/22 00:00:00;14:36:23;ID0857;MT;-24.340;0.00;211000076;
2024/04/12 00:00:00;2024/04/12 00:00:00;RS Dill 12.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519848;103625/094;-24.340;-24,340.0000;MT;2024/04/22 00:00:00;14:36:23;ID0857;MT;-24.340;0.00;211000076;
2024/04/12 00:00:00;2024/04/12 00:00:00;RS Dill 12.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519848;103625/094;-24.020;-24,020.0000;MT;2024/04/22 00:00:00;14:36:23;ID0857;MT;-24.020;0.00;211000076;
2024/04/12 00:00:00;2024/04/12 00:00:00;RS Dill 12.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519848;103625/094;-24.260;-24,260.0000;MT;2024/04/22 00:00:00;14:36:23;ID0857;MT;-24.260;0.00;211000076;
2024/04/12 00:00:00;2024/04/12 00:00:00;RS Dill 12.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519848;103625/094;-24.240;-24,240.0000;MT;2024/04/22 00:00:00;14:36:23;ID0857;MT;-24.240;0.00;211000076;
2024/04/11 00:00:00;2024/04/11 00:00:00;RS Dill 11.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519822;103625/094;-24.180;-24,180.0000;MT;2024/04/22 00:00:00;14:34:03;ID0857;MT;-24.180;0.00;211000076;
2024/04/11 00:00:00;2024/04/11 00:00:00;RS Dill 11.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519822;103625/094;-24.140;-24,140.0000;MT;2024/04/22 00:00:00;14:34:03;ID0857;MT;-24.140;0.00;211000076;
2024/04/11 00:00:00;2024/04/11 00:00:00;RS Dill 11.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519822;103625/094;-23.720;-23,720.0000;MT;2024/04/22 00:00:00;14:34:03;ID0857;MT;-23.720;0.00;211000076;
2024/04/11 00:00:00;2024/04/11 00:00:00;RS Dill 11.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519822;103625/094;-24.080;-24,080.0000;MT;2024/04/22 00:00:00;14:34:03;ID0857;MT;-24.080;0.00;211000076;
2024/04/09 00:00:00;2024/04/09 00:00:00;RS Dill 09.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519809;103625/094;-24.380;-24,380.0000;MT;2024/04/22 00:00:00;14:32:17;ID0857;MT;-24.380;0.00;211000076;
2024/04/09 00:00:00;2024/04/09 00:00:00;RS Dill 09.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519809;103625/094;-24.220;-24,220.0000;MT;2024/04/22 00:00:00;14:32:17;ID0857;MT;-24.220;0.00;211000076;
2024/04/09 00:00:00;2024/04/09 00:00:00;RS Dill 09.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519809;103625/094;-24.300;-24,300.0000;MT;2024/04/22 00:00:00;14:32:17;ID0857;MT;-24.300;0.00;211000076;
2024/04/09 00:00:00;2024/04/09 00:00:00;RS Dill 09.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519809;103625/094;-24.020;-24,020.0000;MT;2024/04/22 00:00:00;14:32:17;ID0857;MT;-24.020;0.00;211000076;
2024/04/08 00:00:00;2024/04/08 00:00:00;RS Dill 08.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519760;103625/094;-24.420;-24,420.0000;MT;2024/04/22 00:00:00;14:26:34;ID0857;MT;-24.420;0.00;211000076;
2024/04/08 00:00:00;2024/04/08 00:00:00;RS Dill 08.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519760;103625/094;-24.060;-24,060.0000;MT;2024/04/22 00:00:00;14:26:34;ID0857;MT;-24.060;0.00;211000076;
2024/04/08 00:00:00;2024/04/08 00:00:00;RS Dill 08.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519760;103625/094;-24.260;-24,260.0000;MT;2024/04/22 00:00:00;14:26:34;ID0857;MT;-24.260;0.00;211000076;
2024/04/08 00:00:00;2024/04/08 00:00:00;RS Dill 08.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519760;103625/094;-24.360;-24,360.0000;MT;2024/04/22 00:00:00;14:26:34;ID0857;MT;-24.360;0.00;211000076;
2024/04/08 00:00:00;2024/04/08 00:00:00;RS Dill 08.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054519760;103625/094;-24.120;-24,120.0000;MT;2024/04/22 00:00:00;14:26:34;ID0857;MT;-24.120;0.00;211000076;
