Calc. No.;Mgmt. dept. CD;Mgmt. dept. name;YM;LVL;Target item CD;Item CD;Item name;Item type name;Unit;Qty.;[STD]Qty.;Total;[STD]Total;Variable Cost;[STD]Variable Cost;Labour Cost;[STD]Labour Cost;Depreciation;[STD]Depreciation;Repair Maintenance;[STD]Repair Maintenance;Overhead Cost;[STD]Overhead Cost;Retur Cost;[STD]Retur Cost
BL572;2201;;2023/03/01 00:00;0;121001217;121001217;;;;40;40;277.25;0;277.25;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001261;121001261;;;;160;160;702.95;0;702.95;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001271;121001271;;;;300;300;27873.09;0;27873.09;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001279;121001279;;;;20;20;444.2;0;444.2;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121001330;121001330;;;;333;333;750.73;0;750.73;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000191;122000191;;;;2000;2000;2910.57;0;2910.57;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000191;122000191;;;;0;0;0;4215.93488;0;0;0;4215.93488;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000208;122000208;;;;48;48;86.66;0;86.66;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000208;122000208;;;;0;0;0;66.79288848;0;0;0;66.79288848;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000215;122000215;;;;100;100;414.91;0;414.91;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000215;122000215;;;;0;0;0;536.661531;0;0;0;536.661531;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000218;122000218;;;;2000;2000;4433.79;0;4433.79;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000218;122000218;;;;0;0;0;4722.96106;0;0;0;4722.96106;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000219;122000219;;;;5075;5075;1789.66;0;1789.66;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000219;122000219;;;;0;0;0;1325.802947;0;0;0;1325.802947;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000351;122000351;;;;4000;4000;1666.88;0;1666.88;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000351;122000351;;;;0;0;0;1262.07276;0;0;0;1262.07276;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000374;122000374;;;;20000;20000;2849.37;0;2849.37;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000374;122000374;;;;0;0;0;2990.735;0;0;0;2990.735;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000452;122000452;;;;50;50;142.14;0;142.14;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000452;122000452;;;;0;0;0;123.3388545;0;0;0;123.3388545;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000454;122000454;;;;30;30;2431.12;0;2431.12;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000454;122000454;;;;0;0;0;2895.85824;0;0;0;2895.85824;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000457;122000457;;;;201;201;560.33;0;560.33;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000457;122000457;;;;0;0;0;502.7845838;0;0;0;502.7845838;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000462;122000462;;;;288;288;225.92;0;225.92;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000462;122000462;;;;0;0;0;172.1599776;0;0;0;172.1599776;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000501;122000501;;;;4;4;157.76;0;157.76;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000503;122000503;;;;0.8;0.8;259.03;0;259.03;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000507;122000507;;;;5200;5200;191.77;0;191.77;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000507;122000507;;;;0;0;0;151.854248;0;0;0;151.854248;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000546;122000546;;;;40;40;67.53;0;67.53;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000546;122000546;;;;0;0;0;60.3789104;0;0;0;60.3789104;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000549;122000549;;;;500;500;4399.35;0;4399.35;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000549;122000549;;;;0;0;0;4038.941825;0;0;0;4038.941825;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000635;122000635;;;;3000;3000;1728.45;0;1728.45;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000635;122000635;;;;0;0;0;1311.88578;0;0;0;1311.88578;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000641;122000641;;;;2100;2100;42.6;0;42.6;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;122000641;122000641;;;;0;0;0;35.556045;0;0;0;35.556045;0;0;0;0;0;0;0;0
